;bld_name;Techno;latitude;longitude;bld_azimut;cll_azimut;tilt;row_dist;N_panel;ratio;cll_layout;cll_alignment;Optimal tilt or max4dist;el cover ratio;el coverage;el production;el demand;th cover ratio;th coverage;th production;th demand
2;0.0;pv;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;56.0;0.691358024691358;east-west;short;tilt;0.31024687732506895;14629.340059141308;33215.995419144456;47153.867221081004;0.0;0.0;0.0;83274.02166324301
2;0.0;pv;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;56.0;0.691358024691358;east-west;short;tilt;0.31024687732506895;14629.340059141308;33215.995419144456;47153.867221081004;0.0;0.0;0.0;83274.02166324301
8;0.0;pv;46.5098019;6.6617476;60.0;60.0;7.0;0.6;48.0;0.5925925925925926;portrait;long;max4dist;0.28724221887724877;13544.581449226476;28434.285752439744;47153.867221081004;0.0;0.0;0.0;83274.02166324301
8;0.0;pv;46.5098019;6.6617476;60.0;60.0;7.0;0.6;48.0;0.5925925925925926;portrait;long;max4dist;0.28724221887724877;13544.581449226476;28434.285752439744;47153.867221081004;0.0;0.0;0.0;83274.02166324301
16;1.0;pv;46.5098019;6.6617476;60.0;60.0;20.0;0.6;60.0;0.6766917293233083;east-west;long;tilt;0.3188348664815294;15034.296959521129;35314.07311127521;47153.867221081004;0.0;0.0;0.0;83274.02166324301
16;1.0;pv;46.5098019;6.6617476;60.0;60.0;20.0;0.6;60.0;0.6766917293233083;east-west;long;tilt;0.3188348664815294;15034.296959521129;35314.07311127521;47153.867221081004;0.0;0.0;0.0;83274.02166324301
23;1.0;pv;46.5098019;6.6617476;60.0;60.0;7.0;0.6;54.0;0.6090225563909775;portrait;long;max4dist;0.29797172544122713;14050.519177092028;31529.69307187395;47153.867221081004;0.0;0.0;0.0;83274.02166324301
23;1.0;pv;46.5098019;6.6617476;60.0;60.0;7.0;0.6;54.0;0.6090225563909775;portrait;long;max4dist;0.29797172544122713;14050.519177092028;31529.69307187395;47153.867221081004;0.0;0.0;0.0;83274.02166324301
32;2.0;pv;46.5098019;6.6617476;210.0;-60.0;20.0;0.6;72.0;0.6956521739130435;east-west;short;tilt;0.3384759862061126;15960.451711087479;42423.93075163452;47153.867221081004;0.0;0.0;0.0;83274.02166324301
32;2.0;pv;46.5098019;6.6617476;210.0;-60.0;20.0;0.6;72.0;0.6956521739130435;east-west;short;tilt;0.3384759862061126;15960.451711087479;42423.93075163452;47153.867221081004;0.0;0.0;0.0;83274.02166324301
38;2.0;pv;46.5098019;6.6617476;210.0;30.0;7.0;0.6;66.0;0.6376811594202898;portrait;long;max4dist;0.3175545630536485;14973.925701680135;37994.472437774035;47153.867221081004;0.0;0.0;0.0;83274.02166324301
38;2.0;pv;46.5098019;6.6617476;210.0;30.0;7.0;0.6;66.0;0.6376811594202898;portrait;long;max4dist;0.3175545630536485;14973.925701680135;37994.472437774035;47153.867221081004;0.0;0.0;0.0;83274.02166324301
46;3.0;pv;46.5098019;6.6617476;45.0;45.0;20.0;0.6;80.0;0.6857142857142857;east-west;long;tilt;0.3459196786437119;16311.450595924603;46145.86045887192;47153.867221081004;0.0;0.0;0.0;83274.02166324301
46;3.0;pv;46.5098019;6.6617476;45.0;45.0;20.0;0.6;80.0;0.6857142857142857;east-west;long;tilt;0.3459196786437119;16311.450595924603;46145.86045887192;47153.867221081004;0.0;0.0;0.0;83274.02166324301
53;3.0;pv;46.5098019;6.6617476;45.0;45.0;7.0;0.6;72.0;0.6171428571428571;portrait;long;max4dist;0.3247162173286015;15311.625396444557;40889.07402678453;47153.867221081004;0.0;0.0;0.0;83274.02166324301
53;3.0;pv;46.5098019;6.6617476;45.0;45.0;7.0;0.6;72.0;0.6171428571428571;portrait;long;max4dist;0.3247162173286015;15311.625396444557;40889.07402678453;47153.867221081004;0.0;0.0;0.0;83274.02166324301
