;bld_name;Techno;latitude;longitude;bld_azimut;cll_azimut;tilt;row_dist;N_panel;ratio;cll_layout;cll_alignment;Optimal tilt or max4dist;el cover ratio;el coverage;el production;el demand;th cover ratio;th coverage;th production;th demand
6;0;PV;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;56.0;0.691358024691358;east-west;short;tilt;0.31024687732506895;14629.340059141308;33215.995419144456;47153.867221081004;0.0;0.0;0.0;83274.02166324301
6;0;PV;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;56.0;0.691358024691358;east-west;short;tilt;0.31024687732506895;14629.340059141308;33215.995419144456;47153.867221081004;0.0;0.0;0.0;83274.02166324301
7;0;ST;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;56.0;0.691358024691358;east-west;short;tilt;0.0;0.0;0.0;19395.86;0.25682920362874134;21387.200666733257;111881.42392924018;83274.02166324301
7;0;ST;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;56.0;0.691358024691358;east-west;short;tilt;0.0;0.0;0.0;19395.86;0.25682920362874134;21387.200666733257;111881.42392924018;83274.02166324301
8;0;PVT;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;56.0;0.691358024691358;east-west;short;tilt;0.5471380395575342;22002.809055657;33215995.41914445;40214.36541581075;0.29737642283444443;24763.73067725324;132863.98167657782;83274.02166324301
8;0;PVT;46.5098019;6.6617476;60.0;-30.0;20.0;0.6;56.0;0.691358024691358;east-west;short;tilt;0.5471380395575342;22002.809055657;33215995.41914445;40214.36541581075;0.29737642283444443;24763.73067725324;132863.98167657782;83274.02166324301
57;1;PV;46.5098019;6.6617476;60.0;60.0;20.0;0.6;60.0;0.6766917293233083;east-west;long;tilt;0.3188348664815294;15034.296959521129;35314.07311127521;47153.867221081004;0.0;0.0;0.0;83274.02166324301
57;1;PV;46.5098019;6.6617476;60.0;60.0;20.0;0.6;60.0;0.6766917293233083;east-west;long;tilt;0.3188348664815294;15034.296959521129;35314.07311127521;47153.867221081004;0.0;0.0;0.0;83274.02166324301
58;1;ST;46.5098019;6.6617476;60.0;60.0;20.0;0.6;60.0;0.6766917293233083;east-west;long;tilt;0.0;0.0;0.0;19395.86;0.26465155882835756;22038.59964308368;119011.96527122713;83274.02166324301
58;1;ST;46.5098019;6.6617476;60.0;60.0;20.0;0.6;60.0;0.6766917293233083;east-west;long;tilt;0.0;0.0;0.0;19395.86;0.26465155882835756;22038.59964308368;119011.96527122713;83274.02166324301
59;1;PVT;46.5098019;6.6617476;60.0;60.0;20.0;0.6;60.0;0.6766917293233083;east-west;long;tilt;0.5471380395575342;22002.809055657;35314073.11127521;40214.36541581075;0.30442017769119883;25350.29247178518;141256.29244510084;83274.02166324301
59;1;PVT;46.5098019;6.6617476;60.0;60.0;20.0;0.6;60.0;0.6766917293233083;east-west;long;tilt;0.5471380395575342;22002.809055657;35314073.11127521;40214.36541581075;0.30442017769119883;25350.29247178518;141256.29244510084;83274.02166324301
114;2;PV;46.5098019;6.6617476;210.0;-60.0;20.0;0.6;72.0;0.6956521739130435;east-west;short;tilt;0.3384759862061126;15960.451711087479;42423.93075163452;47153.867221081004;0.0;0.0;0.0;83274.02166324301
114;2;PV;46.5098019;6.6617476;210.0;-60.0;20.0;0.6;72.0;0.6956521739130435;east-west;short;tilt;0.3384759862061126;15960.451711087479;42423.93075163452;47153.867221081004;0.0;0.0;0.0;83274.02166324301
115;2;ST;46.5098019;6.6617476;210.0;-60.0;20.0;0.6;72.0;0.6956521739130435;east-west;short;tilt;0.0;0.0;0.0;19395.86;0.2732972535082894;22758.561409154107;142951.26795724875;83274.02166324301
115;2;ST;46.5098019;6.6617476;210.0;-60.0;20.0;0.6;72.0;0.6956521739130435;east-west;short;tilt;0.0;0.0;0.0;19395.86;0.2732972535082894;22758.561409154107;142951.26795724875;83274.02166324301
116;2;PVT;46.5098019;6.6617476;210.0;-60.0;20.0;0.6;72.0;0.6956521739130435;east-west;short;tilt;0.5471380395575342;22002.809055657;42423930.751634516;40214.36541581075;0.3157824953121741;26296.478355498923;169695.7230065381;83274.02166324301
116;2;PVT;46.5098019;6.6617476;210.0;-60.0;20.0;0.6;72.0;0.6956521739130435;east-west;short;tilt;0.5471380395575342;22002.809055657;42423930.751634516;40214.36541581075;0.3157824953121741;26296.478355498923;169695.7230065381;83274.02166324301
165;3;PV;46.5098019;6.6617476;45.0;45.0;20.0;0.6;80.0;0.6857142857142857;east-west;long;tilt;0.3459196786437119;16311.450595924603;46145.86045887192;47153.867221081004;0.0;0.0;0.0;83274.02166324301
165;3;PV;46.5098019;6.6617476;45.0;45.0;20.0;0.6;80.0;0.6857142857142857;east-west;long;tilt;0.3459196786437119;16311.450595924603;46145.86045887192;47153.867221081004;0.0;0.0;0.0;83274.02166324301
166;3;ST;46.5098019;6.6617476;45.0;45.0;20.0;0.6;80.0;0.6857142857142857;east-west;long;tilt;0.0;0.0;0.0;19395.86;0.2794425411303368;23270.30422371934;155484.76369185298;83274.02166324301
166;3;ST;46.5098019;6.6617476;45.0;45.0;20.0;0.6;80.0;0.6857142857142857;east-west;long;tilt;0.0;0.0;0.0;19395.86;0.2794425411303368;23270.30422371934;155484.76369185298;83274.02166324301
167;3;PVT;46.5098019;6.6617476;45.0;45.0;20.0;0.6;80.0;0.6857142857142857;east-west;long;tilt;0.5471380395575342;22002.809055657;46145860.45887192;40214.36541581075;0.32223938111195644;26834.16920346708;184583.44183548767;83274.02166324301
167;3;PVT;46.5098019;6.6617476;45.0;45.0;20.0;0.6;80.0;0.6857142857142857;east-west;long;tilt;0.5471380395575342;22002.809055657;46145860.45887192;40214.36541581075;0.32223938111195644;26834.16920346708;184583.44183548767;83274.02166324301
