timestamp;electricityDemand;spaceHeatingDemand;domesticHotWaterDemand
01/01/2021 00:00;1.517;0.0;1.161
01/01/2021 01:00;1.517;0.0;1.201
01/01/2021 02:00;1.517;0.0;1.116
01/01/2021 03:00;1.517;0.0;1.898
01/01/2021 04:00;1.517;0.0;1.9
01/01/2021 05:00;2.731;0.0;1.305
01/01/2021 06:00;10.25;51.506;2.801
01/01/2021 07:00;2.969;54.716;4.619
01/01/2021 08:00;1.757;54.774;7.428
01/01/2021 09:00;1.757;52.821;7.346
01/01/2021 10:00;1.757;51.32;6.621
01/01/2021 11:00;1.757;49.729;7.102
01/01/2021 12:00;10.252;41.704;7.181
01/01/2021 13:00;2.97;45.558;5.735
01/01/2021 14:00;1.756;46.064;4.615
01/01/2021 15:00;1.756;45.388;3.663
01/01/2021 16:00;1.756;45.063;4.617
01/01/2021 17:00;2.97;43.162;5.9
01/01/2021 18:00;10.252;37.833;8.157
01/01/2021 19:00;12.679;35.346;6.465
01/01/2021 20:00;2.969;41.068;3.668
01/01/2021 21:00;2.732;0.0;3.603
01/01/2021 22:00;2.732;0.0;2.973
01/01/2021 23:00;1.518;0.0;1.906
02/01/2021 00:00;1.517;0.0;1.314
02/01/2021 01:00;1.517;0.0;1.158
02/01/2021 02:00;1.517;0.0;1.115
02/01/2021 03:00;1.517;0.0;1.774
02/01/2021 04:00;1.517;0.0;1.775
02/01/2021 05:00;2.731;0.0;1.116
02/01/2021 06:00;10.25;51.846;1.976
02/01/2021 07:00;2.969;55.421;3.772
02/01/2021 08:00;1.756;55.203;5.89
02/01/2021 09:00;1.757;52.035;7.744
02/01/2021 10:00;1.757;49.086;8.532
02/01/2021 11:00;1.757;46.352;8.962
02/01/2021 12:00;10.252;37.188;7.711
02/01/2021 13:00;2.97;40.756;6.646
02/01/2021 14:00;1.756;41.405;5.235
02/01/2021 15:00;1.756;41.113;4.624
02/01/2021 16:00;1.755;41.49;2.717
02/01/2021 17:00;2.97;39.567;4.983
02/01/2021 18:00;10.252;34.181;6.488
02/01/2021 19:00;12.679;32.39;7.023
02/01/2021 20:00;2.969;38.238;3.673
02/01/2021 21:00;2.732;0.0;3.426
02/01/2021 22:00;2.732;0.0;3.167
02/01/2021 23:00;1.518;0.0;1.902
03/01/2021 00:00;1.517;0.0;1.174
03/01/2021 01:00;1.517;0.0;1.177
03/01/2021 02:00;1.517;0.0;2.875
03/01/2021 03:00;1.517;0.0;2.88
03/01/2021 04:00;1.517;0.0;1.711
03/01/2021 05:00;2.732;0.0;3.723
03/01/2021 06:00;10.253;53.489;9.532
03/01/2021 07:00;2.97;57.084;7.74
03/01/2021 08:00;1.756;56.856;6.419
03/01/2021 09:00;1.756;53.689;4.908
03/01/2021 10:00;1.756;50.733;4.342
03/01/2021 11:00;1.756;47.496;4.055
03/01/2021 12:00;10.251;38.663;6.007
03/01/2021 13:00;2.97;43.164;5.356
03/01/2021 14:00;1.755;43.829;3.134
03/01/2021 15:00;1.755;43.806;2.773
03/01/2021 16:00;1.755;44.014;3.14
03/01/2021 17:00;2.97;42.088;5.368
03/01/2021 18:00;10.252;36.556;7.528
03/01/2021 19:00;12.679;34.955;7.626
03/01/2021 20:00;2.97;40.61;5.937
03/01/2021 21:00;2.732;0.0;4.365
03/01/2021 22:00;2.731;0.0;2.523
03/01/2021 23:00;1.518;0.0;1.995
04/01/2021 00:00;1.517;0.0;1.178
04/01/2021 01:00;1.517;0.0;1.18
04/01/2021 02:00;1.517;0.0;2.882
04/01/2021 03:00;1.517;0.0;2.885
04/01/2021 04:00;1.517;0.0;1.713
04/01/2021 05:00;2.732;0.0;3.725
04/01/2021 06:00;10.253;53.933;9.533
04/01/2021 07:00;2.97;57.457;7.74
04/01/2021 08:00;1.756;57.404;6.419
04/01/2021 09:00;1.756;54.693;4.911
04/01/2021 10:00;1.756;51.936;4.346
04/01/2021 11:00;1.756;49.558;4.063
04/01/2021 12:00;10.251;40.961;6.019
04/01/2021 13:00;2.97;44.662;5.363
04/01/2021 14:00;1.755;45.214;3.138
04/01/2021 15:00;1.755;44.932;2.775
04/01/2021 16:00;1.755;45.25;3.142
04/01/2021 17:00;2.97;43.397;5.371
04/01/2021 18:00;10.252;37.877;7.533
04/01/2021 19:00;12.679;35.76;7.628
04/01/2021 20:00;2.97;41.562;5.939
04/01/2021 21:00;2.732;0.0;4.367
04/01/2021 22:00;2.731;0.0;2.525
04/01/2021 23:00;1.518;0.0;1.996
05/01/2021 00:00;1.517;0.0;1.179
05/01/2021 01:00;1.517;0.0;1.182
05/01/2021 02:00;1.517;0.0;2.888
05/01/2021 03:00;1.517;0.0;2.892
05/01/2021 04:00;1.517;0.0;1.718
05/01/2021 05:00;2.732;0.0;3.73
05/01/2021 06:00;10.253;55.738;9.543
05/01/2021 07:00;2.97;59.464;7.749
05/01/2021 08:00;1.756;59.342;6.426
05/01/2021 09:00;1.756;56.957;4.917
05/01/2021 10:00;1.756;54.463;4.351
05/01/2021 11:00;1.756;52.225;4.068
05/01/2021 12:00;10.251;43.826;6.026
05/01/2021 13:00;2.97;47.465;5.369
05/01/2021 14:00;1.755;48.072;3.142
05/01/2021 15:00;1.755;47.754;2.779
05/01/2021 16:00;1.755;47.61;3.146
05/01/2021 17:00;2.97;45.736;5.378
05/01/2021 18:00;10.252;40.224;7.543
05/01/2021 19:00;12.679;38.569;7.64
05/01/2021 20:00;2.97;43.8;5.947
05/01/2021 21:00;2.732;0.0;4.374
05/01/2021 22:00;2.731;0.0;2.529
05/01/2021 23:00;1.518;0.0;2.0
06/01/2021 00:00;1.517;0.0;1.182
06/01/2021 01:00;1.517;0.0;1.185
06/01/2021 02:00;1.517;0.0;2.898
06/01/2021 03:00;1.517;0.0;2.902
06/01/2021 04:00;1.517;0.0;1.723
06/01/2021 05:00;2.732;0.0;3.734
06/01/2021 06:00;10.253;58.662;9.552
06/01/2021 07:00;2.97;61.871;7.755
06/01/2021 08:00;1.756;61.75;6.432
06/01/2021 09:00;1.756;60.22;4.926
06/01/2021 10:00;1.756;58.439;4.363
06/01/2021 11:00;1.756;56.84;4.082
06/01/2021 12:00;10.251;48.987;6.05
06/01/2021 13:00;2.97;51.206;5.384
06/01/2021 14:00;1.755;50.824;3.149
06/01/2021 15:00;1.755;49.767;2.783
06/01/2021 16:00;1.755;49.977;3.15
06/01/2021 17:00;2.97;48.314;5.384
06/01/2021 18:00;10.252;42.852;7.551
06/01/2021 19:00;12.679;40.98;7.648
06/01/2021 20:00;2.97;46.37;5.953
06/01/2021 21:00;2.732;0.0;4.38
06/01/2021 22:00;2.731;0.0;2.533
06/01/2021 23:00;1.518;0.0;2.003
07/01/2021 00:00;1.517;0.0;1.185
07/01/2021 01:00;1.517;0.0;1.19
07/01/2021 02:00;1.517;0.0;2.913
07/01/2021 03:00;1.517;0.0;2.918
07/01/2021 04:00;1.517;0.0;1.732
07/01/2021 05:00;2.732;0.0;3.744
07/01/2021 06:00;10.253;64.109;9.571
07/01/2021 07:00;2.97;67.276;7.771
07/01/2021 08:00;1.756;67.082;6.445
