stn	time.yy	time.mm	time.dd	time.hh	tre200h0	prestahs	ure200h0	rre150h0	fkl010h0	fkl010h1	dkl010h0	tso100hs	nto000sw	gls	str.diffus	str.direkt	str.vert.E	str.vert.S	str.vert.W	str.vert.N	bodenalbedo	ir.horizontal	ir.vertikal.S	bodenemissivitaet	dewpt	enthalpy	mixratio	wetbulb
Pul	2021	01	01	00	4.1	955.9	79.9	1.9	0.5	NA	218	NA	8	  0	  0	  0	  0	  0	  0	  0	61	290	307	72	0.9	10.5	4.29	2.7
Pul	2021	01	01	01	4.2	955.9	74.9	0.2	0.2	NA	207	NA	8	  0	  0	  0	  0	  0	  0	  0	61	287	305	72	0.2	9.8	4.05	2.4
Pul	2021	01	01	02	3.9	955.9	74.9	0.5	0.2	NA	204	NA	8	  0	  0	  0	  0	  0	  0	  0	61	286	304	72	-0.1	8.7	3.96	2.1
Pul	2021	01	01	03	3.9	955.9	63.2	0.0	0.5	NA	265	NA	8	  0	  0	  0	  0	  0	  0	  0	61	276	300	72	-2.4	8.1	3.34	1.3
Pul	2021	01	01	04	3.8	955.9	62.3	0.0	0.5	NA	218	NA	8	  0	  0	  0	  0	  0	  0	  0	61	275	299	72	-2.7	7.6	3.26	1.1
Pul	2021	01	01	05	3.6	955.9	64.4	0.0	0.9	NA	207	NA	8	  0	  0	  0	  0	  0	  0	  0	61	276	300	72	-2.4	7.3	3.34	1.1
Pul	2021	01	01	06	3.6	955.9	63.0	0.0	0.4	NA	231	NA	8	  0	  0	  0	  0	  0	  0	  0	61	275	298	72	-2.8	6.8	3.25	1.0
Pul	2021	01	01	07	3.5	955.9	61.6	0.0	1.5	NA	192	NA	8	  0	  0	  0	  0	  0	  0	  0	61	273	299	72	-3.2	6.3	3.16	0.8
Pul	2021	01	01	08	3.5	955.9	63.5	0.0	0.8	NA	214	NA	8	  2	  2	  0	  0	  0	  1	  1	61	275	305	72	-2.8	6.6	3.26	0.9
Pul	2021	01	01	09	3.8	955.9	63.2	0.0	3.7	NA	253	NA	8	 46	 46	  0	 27	 28	 24	 24	61	276	307	72	-2.5	8.6	3.32	1.2
Pul	2021	01	01	10	4.1	955.9	57.0	0.0	2.0	NA	140	NA	8	 82	 82	  0	 47	 52	 42	 42	61	271	306	71	-3.6	9.7	3.05	1.0
Pul	2021	01	01	11	4.3	955.9	57.1	0.0	1.5	NA	226	NA	8	 95	 95	  0	 51	 57	 49	 49	61	273	308	72	-3.5	11.2	3.09	1.2
Pul	2021	01	01	12	4.4	955.9	57.6	0.0	2.0	NA	190	NA	8	102	102	  0	 53	 61	 52	 52	61	274	309	72	-3.2	12.4	3.15	1.3
Pul	2021	01	01	13	4.4	956.2	56.8	0.0	2.2	NA	148	NA	8	 94	 94	  0	 48	 55	 50	 48	61	274	309	72	-3.3	12.8	3.12	1.2
Pul	2021	01	01	14	4.4	956.6	58.4	0.0	1.3	NA	190	NA	8	 75	 75	  0	 39	 43	 41	 39	61	276	309	72	-3.0	13.1	3.20	1.4
Pul	2021	01	01	15	4.3	956.9	62.4	0.1	2.9	NA	221	NA	8	 41	 41	  0	 22	 21	 21	 22	61	281	311	72	-2.2	12.9	3.40	1.6
Pul	2021	01	01	16	4.1	957.3	65.7	0.0	1.2	NA	36	NA	7	  3	  3	  0	  2	  0	  0	  2	61	281	310	72	-1.7	11.9	3.53	1.6
Pul	2021	01	01	17	3.9	957.7	67.8	0.0	1.5	NA	200	NA	7	  0	  0	  0	  0	  0	  0	  0	61	280	305	73	-1.5	11.5	3.58	1.6
Pul	2021	01	01	18	3.7	958.0	67.7	0.0	0.8	NA	187	NA	6	  0	  0	  0	  0	  0	  0	  0	61	278	303	73	-1.7	11.0	3.53	1.4
Pul	2021	01	01	19	3.5	958.4	69.5	0.0	0.9	NA	191	NA	6	  0	  0	  0	  0	  0	  0	  0	61	277	302	73	-1.5	10.6	3.57	1.4
Pul	2021	01	01	20	3.3	958.7	70.3	0.0	1.0	NA	204	NA	6	  0	  0	  0	  0	  0	  0	  0	61	275	301	73	-1.6	10.1	3.55	1.2
