timestamp;electricityDemand;spaceHeatingDemand;domesticHotWaterDemand
01.01.2021 00:00;0.51;0.577514131;0.163
01.01.2021 01:00;0.43;0;0.000
01.01.2021 02:00;0.42;0;0.000
01.01.2021 03:00;0.53;0;0.163
01.01.2021 04:00;0.62;0.05654442;0.325
01.01.2021 05:00;0.59;0.014121342;0.488
01.01.2021 06:00;2.90;0;9.184
01.01.2021 07:00;2.37;0;8.046
01.01.2021 08:00;3.12;0.217611077;6.015
01.01.2021 09:00;2.13;0.357534756;3.414
01.01.2021 10:00;1.19;0.45814471;1.788
01.01.2021 11:00;4.70;0.349599973;2.438
01.01.2021 12:00;1.95;0;0.163
01.01.2021 13:00;1.09;1.235291932;4.714
01.01.2021 14:00;1.11;0.131382253;0.325
01.01.2021 15:00;1.82;0.106465154;0.325
01.01.2021 16:00;1.44;1.181759625;5.852
01.01.2021 17:00;1.86;1.766896336;0.813
01.01.2021 18:00;2.21;1.881916962;2.438
01.01.2021 19:00;7.34;1.189437912;1.219
01.01.2021 20:00;8.14;1.594222075;1.707
01.01.2021 21:00;3.66;2.591582131;2.763
01.01.2021 22:00;1.76;3.407494477;0.000
01.01.2021 23:00;0.82;4.482657265;0.000
02.01.2021 00:00;0.56;5.388863408;0.000
02.01.2021 01:00;0.53;5.951002776;0.000
02.01.2021 02:00;0.44;6.432943152;0.000
02.01.2021 03:00;0.43;6.930733368;0.000
02.01.2021 04:00;0.51;7.3169775;0.650
02.01.2021 05:00;0.57;7.704097136;2.276
02.01.2021 06:00;3.08;7.233667097;8.209
02.01.2021 07:00;3.52;6.46306107;7.803
02.01.2021 08:00;3.40;6.625523625;11.541
02.01.2021 09:00;2.30;7.280822821;5.202
02.01.2021 10:00;2.68;7.746082948;0.569
02.01.2021 11:00;2.03;7.57823121;0.000
02.01.2021 12:00;0.70;4.896536842;0.650
02.01.2021 13:00;1.02;5.659908206;2.601
02.01.2021 14:00;1.68;6.051703112;5.527
02.01.2021 15:00;1.37;7.915485828;0.325
02.01.2021 16:00;1.16;9.244656006;0.325
02.01.2021 17:00;3.35;9.24560335;0.325
02.01.2021 18:00;5.34;8.15176341;3.089
02.01.2021 19:00;6.54;7.338487945;2.763
02.01.2021 20:00;2.82;8.535312854;4.877
02.01.2021 21:00;2.15;10.45100349;0.650
02.01.2021 22:00;1.02;11.48436401;0.000
02.01.2021 23:00;0.76;12.33925196;0.000
03.01.2021 00:00;0.42;12.90021739;0.000
03.01.2021 01:00;0.49;13.3091285;0.000
03.01.2021 02:00;0.49;13.54402066;0.000
03.01.2021 03:00;0.44;13.83953825;0.163
03.01.2021 04:00;0.50;14.11214125;0.325
03.01.2021 05:00;0.55;14.34210531;4.064
03.01.2021 06:00;3.32;13.65985703;3.495
03.01.2021 07:00;3.36;12.91909947;12.273
03.01.2021 08:00;1.74;13.73834406;4.064
03.01.2021 09:00;2.55;14.28953715;5.039
03.01.2021 10:00;1.93;14.24289316;3.739
03.01.2021 11:00;1.38;14.50633933;1.300
03.01.2021 12:00;0.91;15.03076912;0.325
03.01.2021 13:00;2.24;14.67288347;2.763
03.01.2021 14:00;0.95;14.1989802;1.951
03.01.2021 15:00;3.52;11.80757036;0.650
03.01.2021 16:00;2.37;12.04424225;2.763
03.01.2021 17:00;1.65;14.77824429;0.975
03.01.2021 18:00;1.45;15.55340104;3.251
03.01.2021 19:00;6.05;14.33886366;4.877
03.01.2021 20:00;7.98;12.19896283;0.650
03.01.2021 21:00;5.40;12.4963651;1.138
