tre200h0;gls;str.diffus;ground_temp
1.2;2;1;5
1.3;2;1;5
1.4;3;1;5
1.3;2;1;5
0.8;2;1;5
0.8;2;1;5
1.2;2;1;5
1.5;2;1;5
1.6;7;6;5
1.9;36;35;5
2.3;63;62;5
2.9;103;102;5
3.6;238;150;5
3.2;137;122;5
3.2;118;117;5
3.0;85;83;5
3.0;16;15;5
2.5;3;2;5
2.4;3;1;5
2.3;2;1;5
2.3;2;1;5
2.1;3;1;5
1.9;3;1;5
1.9;3;1;5
1.9;3;1;5
1.9;3;1;5
1.9;3;1;5
1.8;3;1;5
1.8;3;1;5
1.7;3;1;5
1.6;3;1;5
1.9;3;1;5
1.9;10;8;5
2.0;39;38;5
2.1;62;61;5
2.2;112;111;5
2.6;239;213;5
2.6;200;182;5
2.4;147;135;5
2.1;67;66;5
1.9;16;14;5
1.7;3;1;5
1.6;3;1;5
1.5;3;1;5
1.4;3;1;5
1.3;3;1;5
1.2;3;1;5
1.1;3;1;5
1.0;3;1;5
0.9;3;1;5
0.9;3;1;5
0.9;3;1;5
0.9;3;1;5
0.9;3;1;5
0.8;3;1;5
0.9;3;1;5
0.9;7;6;5
0.9;26;25;5
1.1;49;48;5
1.3;77;76;5
1.5;67;67;5
1.6;78;77;5
1.7;101;100;5
1.8;103;101;5
1.7;33;32;5
1.3;3;2;5
0.8;3;1;5
0.5;3;1;5
0.7;2;1;5
1.2;3;1;5
1.3;3;1;5
1.3;3;1;5
1.4;3;1;5
1.3;3;1;5
1.3;3;1;5
1.3;3;1;5
1.1;3;1;5
0.9;3;1;5
0.9;3;1;5
0.8;3;2;5
0.5;9;8;5
0.4;58;57;5
0.4;80;79;5
0.2;108;108;5
0.1;128;128;5
0.3;145;145;5
0.2;114;114;5
0.1;49;48;5
0.0;11;9;5
0.0;3;1;5
0.2;3;1;5
0.4;3;1;5
0.4;3;1;5
0.4;3;1;5
0.4;3;1;5
0.3;3;1;5
0.3;3;1;5
0.4;3;1;5
0.5;3;1;5
0.5;3;1;5
0.4;3;1;5
0.5;3;1;5
0.6;3;1;5
0.7;3;1;5
0.9;5;3;5
1.0;18;17;5
1.5;38;37;5
1.6;52;51;5
1.7;58;57;5
1.5;52;51;5
1.5;78;77;5
1.2;37;36;5
0.9;11;9;5
0.8;3;2;5
0.6;3;1;5
0.6;3;1;5
0.5;3;1;5
0.5;3;1;5
0.4;3;1;5
0.2;3;1;5
0.1;3;1;5
-0.1;3;1;5
-0.2;3;1;5
-0.3;3;1;5
-0.4;3;1;5
-0.6;3;1;5
-0.5;3;1;5
-0.5;3;1;5
-0.3;5;3;5
0.0;22;21;5
0.7;74;72;5
0.9;66;65;5
1.3;118;117;5
1.6;129;128;5
1.6;118;117;5
1.6;75;74;5
1.5;21;20;5
1.2;4;2;5
1.0;3;1;5
0.9;3;1;5
0.8;3;1;5
0.8;3;1;5
0.6;3;1;5
0.6;3;1;5
0.7;3;1;5
0.8;3;1;5
0.6;3;2;5
0.6;3;2;5
0.2;3;1;5
0.1;3;1;5
0.0;3;1;5
0.0;3;1;5
-0.6;23;16;5
-0.1;125;55;5
0.8;177;76;5
2.1;366;147;5
2.2;294;141;5
2.4;225;149;5
2.9;254;118;5
2.8;109;53;5
2.5;50;35;5
1.1;4;3;5
0.8;3;1;5
0.6;3;1;5
0.7;3;1;5
0.5;3;1;5
0.5;3;2;5
0.0;3;1;5
-0.1;3;1;5
-0.2;3;1;5
-0.4;3;1;5
-0.4;3;1;5
-0.5;3;1;5
-0.7;3;1;5
-0.5;3;1;5
-0.9;3;1;5
-1.0;20;17;5
0.0;136;65;5
1.3;235;60;5
1.8;316;72;5
2.6;355;74;5
2.6;329;56;5
2.8;266;56;5
2.6;155;45;5
2.0;42;24;5
0.7;4;3;5
0.3;3;1;5
-0.3;3;1;5
-0.6;2;1;5
-1.0;2;1;5
-1.8;2;1;5
-2.0;2;1;5
-1.8;2;1;5
-1.9;2;1;5
-2.1;2;1;5
-2.3;2;1;5
-2.3;2;1;5
-2.6;2;1;5
-2.6;2;1;5
-2.7;2;1;5
-3.0;16;15;5
-2.7;76;65;5
-1.8;190;105;5
-0.9;250;123;5
-0.5;268;121;5
0.2;279;120;5
0.1;223;124;5
0.0;141;105;5
-0.5;40;38;5
-0.7;3;2;5
-0.6;2;1;5
-0.5;2;1;5
-0.5;2;1;5
-0.6;2;1;5
-0.8;2;1;5
-0.8;3;1;5
-0.9;2;1;5
-0.9;2;1;5
-1.1;2;1;5
-1.2;2;1;5
-1.3;2;1;5
-1.6;2;1;5
-1.7;2;1;5
-1.8;2;1;5
-2.0;17;11;5
-1.6;117;38;5
-1.1;238;58;5
-0.4;322;68;5
0.3;363;74;5
0.4;337;67;5
0.4;274;64;5
0.2;156;52;5
-0.4;36;23;5
-1.0;4;2;5
-1.4;2;1;5
-1.9;2;1;5
-2.3;2;1;5
-2.6;2;1;5
-2.7;2;1;5
-3.4;2;1;5
-3.0;2;1;5
-2.6;2;1;5
-2.7;2;1;5
-2.8;2;1;5
-2.9;2;1;5
-3.2;2;1;5
-3.3;2;1;5
-3.4;2;1;5
-3.6;10;8;5
-3.7;47;46;5
-3.2;110;110;5
-2.8;185;183;5
-2.2;249;138;5
-1.0;337;74;5
-0.8;279;70;5
-1.2;168;58;5
-1.2;51;31;5
-1.8;4;2;5
-3.0;2;1;5
-3.6;2;1;5
-3.9;2;1;5
-3.9;2;1;5
-3.5;2;1;5
-2.9;2;1;5
-2.6;2;1;5
-2.0;2;1;5
-1.8;2;1;5
-1.7;2;1;5
-1.9;2;1;5
-2.2;2;1;5
-2.2;2;1;5
-2.0;2;1;5
-1.5;7;6;5
-1.1;27;25;5
-0.7;39;37;5
-0.3;53;52;5
0.4;92;91;5
0.4;90;89;5
0.3;34;33;5
0.0;13;12;5
0.4;6;5;5
0.5;3;1;5
